school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Primary","TAS",386,"Government",185,1153,30,369.6,18,201,"K-6","Inner Regional","Sandy Bay",74607,"Inner Regional Australia","2016",147.3184045,-42.89924147
"Primary","TAS",386,"Government",153,1139,25,366.4,16,233,"K-6","Inner Regional","Sandy Bay",74608,"Inner Regional Australia","2016",147.3362094,-42.90965464
"Secondary","QLD",null,"Independent",null,null,null,null,null,null,null,"Outer Regional","Port Douglas",74609,"Outer Regional Australia","2016",145.564702,-16.654308
"Primary","TAS",399,"Government",182,1124,29,381.8,4,217,"K-6","Inner Regional","Taroona",74610,"Inner Regional Australia","2016",147.3527989,-42.94315177
"Primary","TAS",211,"Government",96,1136,15,196.2,12,115,"K-6","Inner Regional","Mount Nelson",74611,"Inner Regional Australia","2016",147.3223708,-42.91290931
"Primary","TAS",526,"Government",257,1054,35,495.6,6,269,"K-6","Inner Regional","Lenah Valley",74612,"Inner Regional Australia","2016",147.289568,-42.860997
"Secondary","TAS",775,"Government",0,966,62,775.0,8,775,"7-Oct","Inner Regional","New Town",74613,"Inner Regional Australia","2016",147.302611,-42.850937
"Primary","TAS",336,"Government",164,1036,22,316.0,15,172,"K-6","Inner Regional","New Town",74614,"Inner Regional Australia","2016",147.3000124,-42.85748163
"Primary","TAS",276,"Government",133,961,26,262.4,20,143,"K-6","Inner Regional","Moonah",74615,"Inner Regional Australia","2016",147.3076373,-42.84736447
"Primary","TAS",111,"Government",58,921,13,105.0,1,53,"K-6","Inner Regional","Moonah",74616,"Inner Regional Australia","2016",147.2925531,-42.83224516
"Primary","TAS",284,"Government",144,914,21,272.4,22,140,"K-6","Inner Regional","Derwent Park",74617,"Inner Regional Australia","2016",147.2964634,-42.83809219
"Primary","TAS",298,"Government",132,886,22,283.2,8,166,"K-6","Inner Regional","West Moonah",74618,"Inner Regional Australia","2016",147.2759479,-42.84764764
"Primary","TAS",439,"Government",233,957,30,416.6,2,206,"K-6","Inner Regional","Rosetta",74619,"Inner Regional Australia","2016",147.2573008,-42.82210911
"Primary","TAS",47,"Government",24,975,5,43.8,2,23,"K-6","Inner Regional","Collinsvale",74620,"Inner Regional Australia","2016",147.1983997,-42.83667338
"Primary","TAS",312,"Government",156,973,20,295.2,2,156,"K-6","Inner Regional","Geilston Bay",74621,"Inner Regional Australia","2016",147.3545718,-42.84389054
"Primary","TAS",332,"Government",148,1023,24,313.2,3,184,"K-6","Inner Regional","Lindisfarne",74622,"Inner Regional Australia","2016",147.3637244,-42.85201252
"Primary","TAS",187,"Government",82,866,16,175.4,0,105,"K-6","Inner Regional","Risdon Vale",74623,"Inner Regional Australia","2016",147.3532966,-42.81259813
"Primary","TAS",482,"Government",233,1042,33,454.4,5,249,"K-6","Inner Regional","Bellerive",74624,"Inner Regional Australia","2016",147.3701106,-42.87227607
"Secondary","TAS",501,"Government",254,976,41,500.4,3,247,"7-Oct","Inner Regional","Bellerive",74625,"Inner Regional Australia","2016",147.3892403,-42.877901
"Primary","TAS",589,"Government",274,1033,41,555.8,2,315,"K-6","Inner Regional","Howrah",74626,"Inner Regional Australia","2016",147.4021105,-42.88107919
"Primary","TAS",336,"Government",169,1062,24,317.6,3,167,"K-6","Inner Regional","Montagu Bay",74627,"Inner Regional Australia","2016",147.3522335,-42.86449013
"Primary","TAS",173,"Government",86,871,19,165.0,10,87,"K-6","Inner Regional","Warrane",74628,"Inner Regional Australia","2016",147.382622,-42.86122275
"Primary","TAS",118,"Government",64,851,10,111.2,0,54,"K-6","Inner Regional","Clarendon Vale",74629,"Inner Regional Australia","2016",147.4443949,-42.88738509
"Primary","TAS",239,"Government",110,858,25,228.2,1,129,"K-6","Inner Regional","Rokeby",74630,"Inner Regional Australia","2016",147.4337238,-42.89897973
"Primary","TAS",636,"Government",307,1006,44,598.0,1,329,"K-6","Inner Regional","Lauderdale",74631,"Inner Regional Australia","2016",147.47854,-42.905072
"Primary","TAS",83,"Government",45,1041,7,80.2,0,38,"K-6","Outer Regional","South Arm",74632,"Outer Regional Australia","2016",147.420197,-43.02586187
"Primary","TAS",256,"Government",133,1010,19,240.0,1,123,"K-6","Outer Regional","Richmond",74633,"Outer Regional Australia","2016",147.4379846,-42.73928054
"Combined","TAS",177,"Government",78,890,20,173.4,0,99,"K-10","Outer Regional","Campania",74634,"Outer Regional Australia","2016",147.4236781,-42.66628398
"Primary","TAS",135,"Government",74,976,13,127.4,1,61,"K-6","Outer Regional","Glen Huon",74635,"Outer Regional Australia","2016",146.962378,-43.02813851
"Primary","TAS",416,"Government",193,902,33,396.0,2,223,"K-6","Outer Regional","Huonville",74636,"Outer Regional Australia","2016",147.0469488,-43.02374508
"Primary","TAS",213,"Government",104,966,16,203.4,1,109,"K-6","Outer Regional","Cygnet",74637,"Outer Regional Australia","2016",147.0722396,-43.15825931
